ABI_SFA_SAPID__c,Name,ABI_DTT_AddressFirstLine__c,ABI_SFA_City__c,ABI_SFA_Address__c,ShippingLatitude,ShippingLongitude
29721058,NIGHT BURGER,RUE MONT D'ARENE 88,REIMS,RUE MONT D&#39;ARENE 88 / 51100 REIMS / FR,"45,58559","0,7566"
29721059,HOTEL RESTAURANT DE LA VRAINE,RUE D'ALSACE 51,GIRONCOURT SUR VRAINE,RUE D&#39;ALSACE 51 / 88170 GIRONCOURT SUR VRAINE / FR,"48,30971","5,9223"
29721060,BAR LA RUELLE,RUE CHARLES DE GAULLE 30,GERARDMER,RUE CHARLES DE GAULLE 30 / 88400 GERARDMER / FR,"48,06916","6,87096"
29721061,LA TABLE RONDE,PL SAINT ANDRE 7,GRENOBLE,PL SAINT ANDRE 7 / 38000 GRENOBLE / FR,"45,18218","5,72115"
29721223,L'EMPORTE PIECE,HALLES DE PAU STAND 82,PAU,HALLES DE PAU STAND 82 / 64000 PAU / FR,"39,79163","8,80164"
29721225,ESTALOU,LE BOURG,LE VAULMIER,LE BOURG / 15380 LE VAULMIER / FR,"45,18912","2,56763"
29721226,CREPERIE BAR DE L'OURS,FABREGES 0,LARUNS,FABREGES 0 / 64440 LARUNS / FR,"42,8923","-0,41972"
29413176,RESTAURANT L'AIGUILLE DU MIDI,RUE DU COMMUN 23,CASTRES,RUE DU COMMUN 23 / 81100 CASTRES / FR,"47,62777","-1,83076"
29413177,LE CACTUS,AV DU CENTRE 237,BARAQUEVILLE,AV DU CENTRE 237 / 12160 BARAQUEVILLE / FR,"44,28121","2,44945"
29413181,GOLF DU MEDOC,CHEM COURMATEAU 1366,LE PIAN MEDOC,CHEM COURMATEAU 1366 / 33290 LE PIAN MEDOC / FR,"44,95746","-0,66841"
29413182,BARAKA CHICHI,RUE HENRI OURLIAL 13,SAINTES MARIES DE LA MER,RUE HENRI OURLIAL 13 / 13460 SAINTES MARIES DE LA MER / FR,"43,45224","4,42884"
29413183,KER LOUIS,AV JEAN CRISTAU 46,ST GILLES CROIX DE VIE,AV JEAN CRISTAU 46 / 85800 ST GILLES CROIX DE VIE / FR,,
29413184,ASSOCIATION SPORTIVE-PETANQUE,RUE DE PARIS 50,LIEUSAINT,RUE DE PARIS 50 / 77127 LIEUSAINT / FR,"48,63074","2,55325"
29413186,LA DIVETTE,RUE DU DEPART 4,ENGHIN LES BAINS,RUE DU DEPART 4 / 95000 ENGHIN LES BAINS / FR,"48,97223","2,30845"
29413187,A L'EAU CHRISTIAN,BD DE LA TOUR DU GUET 1,PORTIRAGNE PLAGE,BD DE LA TOUR DU GUET 1 / 34420 PORTIRAGNE PLAGE / FR,,
29413188,L'ESSENTIEL,ESPACE LE PETIT PARADIS RN 10 ROUTE DE C,VENDARGUES,ESPACE LE PETIT PARADIS RN 10 ROUTE DE C / 34740 VENDARGUES / FR,"43,65688","3,96995"
29413189,LE PATCHANKA,PL PAUL VALERY,LA GRANDE MOTTE,PL PAUL VALERY / 34280 LA GRANDE MOTTE / FR,"45,41872","-0,72874"
29413190,LE BINIOU,AV DE L'EUROPE CC LE MERCURE,LA GRANDE MOTTE,AV DE L&#39;EUROPE CC LE MERCURE / 34280 LA GRANDE MOTTE / FR,"45,41872","-0,72874"
29413191,FOOTBALL CLUB BRASSAC,ALL DU STADE,BRASSAC,ALL DU STADE / 81260 BRASSAC / FR,"43,62894","2,49643"
29413192,M.J.C NAVES,BRG,NAVES,BRG / 81710 NAVES / FR,"44,25483","2,46906"
29413194,LA TETE DE L'ART,RUE DE LA PIALE 7,ALBI,RUE DE LA PIALE 7 / 81000 ALBI / FR,"39,04439","16,60152"
29413195,LE LADY ROSE,PL DE LA LIBERATION 2,LE GRAU DU ROI,PL DE LA LIBERATION 2 / 30240 LE GRAU DU ROI / FR,"43,5072","4,1657"
29413196,LES CAVES JEAN JAURES,RES ADRIANA II,LATTES,RES ADRIANA II / 34970 LATTES / FR,"43,56815","3,90365"
29413197,REGNIER JEAN LUC,RUE EMILE GLINEUR 44,FLINES LES RACHES,RUE EMILE GLINEUR 44 / 59148 FLINES LES RACHES / FR,"46,07774","2,92964"
29413200,PIZZA PAZZA,RUE GAUTHIER 1ER 12,NEMOURS,RUE GAUTHIER 1ER 12 / 77140 NEMOURS / FR,"48,25994","2,71093"
29413201,LA GRAVETTE,LA GRAVETTE,LURCY LEVIS,LA GRAVETTE / 03320 LURCY LEVIS / FR,"46,73481","2,91784"
29413205,L'ESPERANCE,AV LOUIS PASTEUR 25,VILLEFRANCHE D'ALLIER,AV LOUIS PASTEUR 25 / 03430 VILLEFRANCHE D&#39;ALLIER / FR,"46,39634","2,841"
29413206,LE CHUCHAL,MARGEAT,FRANCHESSE,MARGEAT / 03160 FRANCHESSE / FR,"46,63834","3,03756"
29413207,AU TRADITIONNEL,AV DU GENERAL DE GAULLE PARKING CHAMPION,VERTUS,AV DU GENERAL DE GAULLE PARKING CHAMPION / 51130 VERTUS / FR,"43,82295","1,72484"
